4,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,20,0,0,0,0,21,1,0,0,0,0,0,0,115,8,0,0,0,1,13,16,37,29,1,0,0,4,97,37,2,12,19,45,0,0,49,40,67,27,72,52,0,0,0,1,143,26,10,9,21,45,56,46,9,0,0,10,43,119,143,65,0,0,1,2,2,5,143,143,3,12,143,120,5,6,1,0,9,28,74,95,51,11,2,1,0,0,2,116,143,29,21,3,1,0,5,13,24,6,55,96
4,54,2,0,2,0,2,12,131,127,7,9,0,1,64,32,76,62,0,0,0,0,24,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,7,24,65,99,65,12,60,42,142,30,11,10,22,46,12,15,116,13,0,0,0,1,0,0,0,0,0,0,0,0,27,5,0,0,2,95,142,31,142,82,10,1,0,7,39,106,85,39,36,30,1,0,0,3,0,0,0,2,0,0,0,0,60,128,2,0,4,9,18,6,142,142,0,0,1,4,1,3,36,36,2,12,17,47,1,0,0,0,0,1,3,15,0,0
9,108,2,1,17,1,14,44,6,3,97,120,32,12,40,120,52,7,34,54,87,18,36,55,3,0,0,56,10,6,8,120,30,5,13,32,67,11,0,0,1,6,60,111,120,62,48,24,5,2,23,97,28,23,94,94,20,8,7,24,9,4,22,81,37,17,8,13,120,16,1,0,2,16,9,18,120,47,31,12,1,3,47,120,49,64,21,16,20,25,42,87,16,22,48,97,25,1,1,5,25,5,0,0,0,0,0,0,25,24,31,8,0,0,1,5,28,75,19,1,0,0,0,6,0,17,60,30,1,0,0,0
9,108,2,1,27,16,7,2,1,4,19,16,122,49,5,1,1,1,4,118,64,31,10,41,122,44,8,56,58,81,20,34,63,3,0,0,28,122,10,2,1,3,13,9,120,122,45,8,3,1,2,34,40,101,41,122,67,9,2,7,70,50,11,32,78,5,2,3,6,54,20,30,5,0,0,2,122,85,55,38,8,5,11,69,35,26,23,40,67,33,21,25,16,5,4,27,86,29,18,8,0,1,2,2,0,0,0,0,4,35,79,21,1,0,0,0,5,14,44,73,56,7,1,1,17,52,21,21,92,18,3,2
9,151,2,0,0,0,0,0,52,75,8,2,127,0,0,0,25,56,17,51,71,3,1,11,2,7,0,9,1,4,18,78,35,19,2,0,32,16,0,0,9,51,80,47,127,41,0,0,5,34,61,109,98,5,0,0,3,54,26,13,3,1,0,3,15,45,6,1,33,90,36,1,1,1,6,17,127,127,55,5,35,59,58,36,92,10,0,0,5,45,127,71,33,5,0,0,19,30,4,8,0,2,6,0,7,17,2,0,18,38,13,3,89,127,20,8,124,127,2,0,13,24,16,21,23,8,0,0,16,23,5,1
13,223,2,1,9,26,101,88,33,17,2,0,48,35,25,38,17,16,12,28,115,42,7,0,0,0,7,61,27,44,22,27,14,18,5,2,0,0,25,66,104,103,16,2,14,21,25,78,31,54,102,21,125,38,7,4,8,10,45,84,54,17,2,6,53,125,29,10,16,1,19,50,17,22,42,102,15,15,49,125,39,9,15,31,125,50,21,40,21,3,5,61,45,23,12,46,100,21,3,25,11,0,0,0,0,0,16,71,9,0,1,27,26,9,78,70,51,7,4,19,10,9,55,60,25,3,2,8,14,8,9,65
24,74,2,1,14,7,2,4,21,40,59,26,24,60,24,1,1,56,76,10,113,44,14,6,6,3,25,43,16,0,12,44,53,5,7,18,32,25,14,79,90,14,4,3,113,113,42,20,1,1,2,17,34,44,109,86,3,1,11,24,30,25,38,21,100,7,7,24,7,11,103,89,38,5,0,1,113,64,67,51,2,0,1,87,82,25,62,32,4,39,17,32,1,9,30,34,71,53,24,1,17,6,82,29,0,1,8,24,17,43,99,40,3,71,13,2,16,17,4,0,0,113,71,2,20,2,1,1,2,57,72,47
27,121,2,0,27,1,0,3,16,1,5,135,72,28,1,0,3,7,33,135,38,63,39,8,25,32,16,11,42,30,7,2,11,7,7,36,40,0,0,14,25,5,3,48,135,71,0,1,2,5,8,110,86,53,2,1,25,91,35,12,48,37,4,3,10,14,42,59,47,10,7,20,4,1,1,11,135,24,4,7,8,21,6,106,55,77,23,3,45,117,33,37,23,62,28,8,4,11,42,40,53,27,15,8,0,0,0,18,97,135,16,4,0,6,11,31,23,135,25,2,5,38,44,15,25,54,21,9,5,16,10,4
30,116,2,0,1,0,0,3,30,37,8,4,71,5,0,7,17,0,0,27,148,99,0,0,0,0,2,66,68,96,1,0,1,22,5,8,32,6,0,5,4,4,8,13,117,16,2,22,13,0,0,2,148,87,0,0,1,14,3,27,49,29,0,0,11,138,32,15,61,38,9,7,0,0,0,1,73,43,32,35,2,0,0,2,148,63,14,0,3,21,13,71,18,74,54,3,19,83,16,17,78,9,3,2,0,0,0,29,61,133,34,8,0,0,0,10,42,148,49,0,0,4,28,13,3,79,41,1,1,20,43,6
35,158,2,0,7,34,16,5,17,29,3,1,6,6,5,2,5,24,38,15,3,2,2,8,54,50,13,7,4,19,11,58,115,50,10,1,3,5,2,0,42,94,37,5,57,51,5,6,15,29,13,18,11,21,44,72,109,102,9,3,15,115,63,22,29,75,27,5,32,21,4,4,5,29,88,64,115,23,6,7,2,5,18,87,58,25,115,87,21,2,6,23,1,115,115,21,4,6,3,0,21,87,18,13,8,46,18,7,75,13,5,8,4,26,114,63,43,2,3,1,1,7,113,115,15,11,7,1,1,6,7,27
45,45,2,0,2,2,54,78,1,3,17,11,38,62,30,27,0,4,33,11,42,114,104,0,0,3,9,15,3,92,114,0,0,1,22,10,8,2,51,56,2,3,56,114,65,75,85,63,4,4,21,19,57,61,17,1,22,36,50,32,2,6,4,0,2,57,114,37,57,0,0,0,0,0,40,114,114,12,4,0,5,7,20,69,10,5,2,0,114,100,21,7,0,0,0,0,53,76,72,41,41,0,0,0,0,0,0,36,68,0,0,0,0,8,32,114,1,0,0,4,99,78,28,19,0,0,0,5,68,21,11,7
45,78,2,0,0,3,96,48,1,0,0,0,13,86,58,24,0,0,0,4,62,121,12,0,2,0,0,23,20,42,0,24,41,20,9,12,2,1,37,60,45,13,0,0,29,19,27,28,75,16,9,38,121,49,0,1,10,6,5,92,36,18,1,18,72,88,4,4,1,1,9,89,45,3,0,0,32,8,5,50,121,12,2,13,121,39,1,9,27,6,2,117,36,10,58,96,77,41,0,24,0,0,3,21,55,37,2,0,2,12,60,34,92,33,1,6,92,7,59,36,18,3,1,121,121,7,36,25,2,0,0,88
45,181,2,0,77,51,40,9,1,0,4,38,81,109,64,16,2,0,2,40,14,48,67,79,45,2,0,1,1,3,29,94,65,6,4,5,35,20,27,12,44,10,2,22,129,38,3,5,18,8,2,71,67,8,11,39,104,98,23,5,6,23,33,51,29,40,67,16,45,7,3,5,20,33,36,49,129,39,3,4,10,9,12,76,53,11,57,74,83,23,2,16,5,98,129,27,9,6,8,6,49,56,17,6,3,46,31,17,129,129,0,0,0,4,8,28,36,34,19,8,0,0,0,3,12,26,21,3,2,5,1,1
51,149,2,0,29,12,7,22,19,19,23,15,145,40,1,1,0,3,9,94,39,32,1,0,16,29,17,13,6,0,0,0,46,30,16,4,31,8,3,12,7,71,86,18,145,24,0,0,4,15,23,96,79,2,0,0,71,139,54,22,36,13,3,2,12,48,68,35,38,25,40,71,4,6,2,0,145,47,9,3,15,6,0,7,69,27,5,14,145,49,1,6,82,104,6,5,36,18,2,6,6,10,87,55,0,0,0,0,145,39,36,5,8,3,3,16,39,20,6,19,57,23,10,22,28,42,3,3,35,19,7,27
52,41,2,1,39,4,0,0,0,0,0,5,130,42,28,15,8,0,0,19,19,11,32,72,96,13,2,6,53,45,6,3,10,3,2,56,48,24,1,0,0,0,0,1,130,77,2,12,24,1,0,25,31,11,3,56,130,14,1,8,63,5,4,6,31,3,2,62,47,83,3,0,0,0,0,1,130,115,21,5,13,4,2,61,22,31,55,79,130,13,3,21,10,38,130,53,19,0,0,21,61,130,5,0,0,0,0,3,27,130,35,2,0,4,9,8,8,42,58,50,6,17,28,10,34,47,71,63,0,0,3,13
52,41,2,0,7,0,0,3,19,37,84,117,11,7,22,10,11,36,71,66,1,6,18,8,13,104,52,8,0,0,1,7,50,127,15,0,20,2,0,26,25,17,92,48,127,29,3,14,21,20,52,65,17,6,2,38,127,118,40,7,0,0,0,0,29,127,15,0,39,9,2,48,73,10,1,3,127,33,1,5,37,21,3,27,18,2,0,12,127,126,2,7,0,0,0,0,33,32,1,0,16,7,2,27,36,47,15,11,77,19,1,2,33,20,34,76,2,0,0,4,127,53,16,6,0,0,0,0,18,4,1,0
53,9,2,0,66,6,0,0,0,3,18,17,158,48,0,0,0,0,0,11,158,41,0,0,0,0,1,17,61,3,0,0,0,0,6,26,117,26,0,0,0,2,3,8,158,22,0,0,0,0,0,50,158,13,0,0,0,0,0,39,50,3,1,0,0,0,2,7,104,27,5,0,0,0,0,7,158,42,0,0,0,0,0,14,158,30,0,0,0,0,0,14,56,1,0,0,0,0,0,11,70,13,0,0,0,0,0,7,158,24,0,0,0,0,0,7,158,28,0,0,0,0,0,2,33,1,0,0,0,0,0,2
57,111,2,0,98,141,9,0,0,0,0,3,51,141,83,0,0,0,10,8,100,83,29,0,0,0,5,14,59,9,0,0,3,3,3,19,141,88,11,0,0,0,0,40,134,36,2,0,0,0,55,75,141,25,1,0,0,0,18,38,59,30,1,6,18,2,0,1,78,141,66,0,0,0,0,3,99,53,3,0,0,0,5,12,141,28,0,0,0,0,1,25,52,4,0,3,25,8,1,32,49,41,22,3,0,0,0,4,41,20,15,6,0,0,0,6,97,6,0,0,0,0,0,63,50,0,0,5,6,0,0,42
60,38,2,1,19,7,0,2,4,0,0,0,99,42,9,1,0,4,15,41,10,8,9,5,3,45,68,29,93,32,4,0,1,15,29,59,41,8,0,2,2,0,0,4,133,80,65,24,5,1,4,29,18,28,74,99,57,17,14,13,106,106,9,2,4,3,4,68,34,11,2,0,0,0,0,4,133,56,6,15,25,1,0,36,52,14,7,75,133,14,3,16,84,6,1,5,22,3,3,119,32,31,1,0,0,0,0,0,133,84,8,6,12,2,2,57,32,27,39,73,133,9,3,26,16,28,99,40,17,0,2,33
60,45,2,0,1,3,41,47,8,0,12,28,11,0,0,29,15,26,121,50,121,10,2,9,7,20,50,59,20,5,2,42,101,52,12,6,0,0,19,121,71,0,0,0,23,3,2,83,94,8,3,4,121,17,1,7,14,7,3,46,38,2,0,16,121,63,2,15,0,0,0,86,93,45,0,0,11,5,4,93,93,77,10,3,121,21,3,10,15,11,30,84,17,1,0,14,121,42,31,23,0,0,0,46,121,50,2,1,0,6,19,30,69,68,11,2,4,23,33,7,1,6,32,41,0,0,7,16,41,43,37,11
61,59,2,0,2,4,9,23,81,116,5,0,9,74,44,7,44,22,2,0,1,116,100,14,0,0,2,0,1,34,89,92,5,0,0,0,17,12,31,18,13,116,10,5,116,96,18,5,2,3,0,19,28,116,68,3,0,0,0,1,3,52,92,35,1,3,0,0,15,22,66,116,11,3,6,19,116,37,24,59,4,0,2,36,90,23,5,0,0,0,7,40,18,30,4,0,9,67,4,5,21,13,21,23,6,2,11,48,24,13,14,29,35,29,41,26,15,1,0,0,4,11,116,109,8,1,0,0,7,116,101,31
64,77,2,0,17,14,22,14,8,8,46,99,2,8,18,42,118,52,25,13,49,68,26,6,34,15,34,118,36,22,0,0,0,5,8,54,13,2,20,53,2,9,118,118,118,51,31,7,38,42,118,75,32,118,77,4,11,27,23,6,12,28,2,0,0,39,64,2,10,17,43,118,26,1,11,7,118,68,25,20,2,3,30,56,25,6,1,0,1,67,90,35,0,0,0,0,6,91,73,2,8,3,6,31,51,63,10,10,37,20,8,19,26,14,15,27,0,0,0,9,27,30,76,35,0,2,4,2,9,50,59,4
70,117,2,0,115,75,0,0,0,0,6,16,115,74,1,1,12,7,0,12,10,8,1,2,115,91,6,4,74,39,0,0,15,24,14,13,115,47,1,1,0,0,0,36,115,11,0,9,27,13,1,58,22,40,60,75,115,85,5,6,57,81,40,22,23,56,43,9,115,42,9,9,1,0,0,30,115,55,2,5,3,0,3,16,10,88,70,45,9,1,3,2,0,59,115,72,17,10,2,0,70,81,18,2,0,0,0,3,107,64,3,0,0,0,1,10,16,60,6,0,1,5,11,23,3,8,15,6,8,36,47,10
73,193,2,0,43,1,0,0,1,20,27,79,130,8,0,0,6,5,3,130,17,0,0,53,125,43,6,30,2,0,2,53,31,18,39,13,72,24,0,1,6,15,14,46,130,66,0,0,2,5,14,92,38,12,0,32,52,77,53,18,0,0,16,102,22,32,53,1,88,12,2,28,20,1,0,33,130,11,0,2,2,32,108,97,5,1,1,13,9,130,130,15,0,24,6,3,1,41,130,11,25,18,4,28,17,13,23,8,22,7,0,3,2,21,52,28,3,5,6,36,9,17,34,14,29,76,13,7,1,7,22,10
73,193,2,0,46,24,12,19,2,3,5,9,3,11,92,39,5,18,25,2,5,16,74,37,0,2,18,10,36,39,21,4,0,0,4,28,45,44,8,2,0,9,7,10,133,82,122,22,0,3,4,20,13,50,133,133,0,0,0,2,2,107,133,25,0,0,0,0,46,13,5,20,10,35,14,9,133,49,6,2,0,6,8,62,46,22,58,37,0,14,53,58,10,45,87,12,0,6,79,54,49,21,9,72,49,5,2,6,133,44,0,2,3,20,8,17,23,4,0,0,1,97,81,18,23,17,4,4,1,16,79,57
74,210,2,0,34,13,7,0,12,10,0,9,24,43,12,0,0,1,1,6,30,121,10,0,0,3,1,2,52,58,18,16,1,1,1,4,90,16,1,0,4,7,1,16,96,102,42,1,0,0,0,19,43,104,53,21,6,9,7,4,93,37,5,1,2,34,34,15,36,19,0,0,1,6,9,28,121,30,7,1,0,0,2,94,105,48,49,121,66,10,4,20,121,89,2,41,46,16,7,3,13,2,16,15,2,2,11,17,121,5,0,1,0,0,1,121,102,16,12,35,67,21,20,121,103,82,22,24,47,13,3,2
75,69,2,1,11,17,35,27,1,0,45,39,28,9,2,0,0,2,64,72,69,0,0,1,2,4,13,101,7,1,1,7,19,21,5,9,2,4,44,127,12,2,5,5,20,5,5,99,66,17,79,46,127,37,2,4,9,5,28,127,25,10,8,49,40,39,7,11,0,0,3,41,34,38,19,12,46,8,3,61,127,72,3,15,127,71,3,4,24,6,15,115,24,13,8,37,25,74,43,21,6,5,1,2,23,41,74,12,11,35,51,33,100,38,3,6,73,120,67,21,9,6,15,65,17,10,29,55,9,60,52,17
76,158,2,0,17,58,112,10,1,1,0,7,129,69,35,6,2,3,9,43,114,35,0,0,0,1,40,79,45,24,1,0,32,11,7,7,29,20,22,7,8,21,13,62,46,6,9,11,47,54,35,66,129,28,0,0,3,3,24,116,67,25,0,0,61,32,16,9,27,3,7,5,3,11,25,129,80,62,0,4,53,61,33,21,129,82,9,3,4,3,21,81,33,9,4,8,25,32,53,50,14,7,18,24,12,9,13,17,129,126,2,0,1,11,12,6,75,97,55,21,0,0,2,12,31,21,19,12,1,5,11,21
86,36,2,2,3,24,22,6,2,0,0,0,54,19,48,26,3,0,0,9,123,10,1,2,0,0,12,123,50,2,1,0,0,0,29,123,102,49,16,8,9,1,0,15,53,27,43,82,104,2,0,8,123,21,11,11,16,0,1,41,123,36,0,0,0,0,7,76,121,0,0,1,4,3,0,50,96,24,78,61,32,1,0,46,63,55,123,37,7,0,0,11,108,12,13,11,5,5,35,62,45,1,0,0,1,0,0,37,123,19,8,0,0,0,1,115,20,9,27,22,23,22,17,47,42,51,34,12,24,19,12,18
86,36,2,0,1,0,0,0,30,124,50,2,0,0,0,0,7,76,124,35,14,11,5,6,35,62,107,12,33,12,24,19,12,19,43,51,0,2,0,0,12,124,124,9,11,11,15,0,1,41,124,21,124,37,7,0,0,12,62,56,27,22,22,22,17,48,20,10,48,26,3,0,0,9,55,19,43,83,104,2,0,8,53,27,78,61,32,0,0,46,96,24,8,0,0,0,1,116,124,19,22,6,1,0,0,0,3,24,16,8,9,1,0,15,101,49,0,1,4,3,0,50,120,0,0,0,1,0,0,37,45,1
93,227,2,0,6,0,0,8,24,17,1,1,21,38,23,3,5,5,2,2,0,14,62,30,5,0,4,4,0,0,2,16,9,0,12,34,27,4,0,0,45,35,1,2,132,132,41,11,5,6,1,7,20,43,85,132,86,0,0,0,4,0,1,64,68,0,0,3,29,0,0,1,56,11,3,5,132,16,2,6,12,0,0,92,84,7,4,100,132,1,0,32,2,0,0,55,132,2,0,0,6,0,0,0,11,13,15,4,132,0,0,0,2,1,1,131,72,0,0,39,82,20,22,113,2,2,2,91,90,5,2,1
96,252,2,0,0,0,0,0,0,0,0,0,24,18,3,0,0,0,1,3,79,100,21,0,0,0,0,10,63,133,76,3,0,0,0,12,0,0,0,0,0,0,0,0,61,11,3,1,9,2,4,31,133,133,22,0,0,0,7,50,122,133,17,0,0,21,62,63,4,1,0,0,0,0,0,1,71,48,26,3,7,3,6,21,133,53,9,0,0,13,133,114,28,11,0,0,1,40,133,133,3,4,22,0,0,0,0,1,28,18,71,39,1,7,14,18,10,61,27,8,0,20,54,23,50,76,16,0,0,3,28,61
97,147,2,0,12,9,9,13,74,55,37,8,29,3,6,10,18,24,120,95,27,6,9,7,1,4,120,85,26,5,7,14,9,2,13,53,1,3,21,68,114,61,6,2,44,13,33,84,89,55,51,76,120,48,9,3,3,8,31,120,57,23,2,2,8,22,30,48,11,8,29,94,33,6,13,20,12,28,120,120,60,20,4,6,120,109,56,29,5,10,11,30,30,7,3,3,36,51,20,33,44,16,6,16,10,9,22,35,9,5,30,76,10,17,39,5,10,6,13,47,28,52,28,8,4,3,4,3,10,20,39,30
100,244,2,0,2,3,2,16,34,7,2,4,8,25,17,19,11,1,0,8,3,42,55,17,3,2,1,1,1,47,54,15,1,0,0,0,10,2,4,14,23,7,6,27,31,8,15,30,7,1,1,35,121,69,58,4,0,0,0,34,26,35,116,53,0,0,0,5,19,29,71,10,0,0,0,5,21,29,44,51,4,0,0,2,131,50,12,3,0,0,9,42,75,21,22,4,0,0,36,80,1,39,172,68,9,2,0,0,2,73,172,43,1,0,0,0,10,13,172,45,0,0,11,20,1,0,172,99,0,0,54,54
104,54,2,0,93,0,0,0,10,16,13,91,41,3,0,5,5,41,68,59,144,11,0,1,1,3,13,81,20,3,1,16,13,2,0,8,61,0,0,3,29,10,11,93,85,4,4,1,4,68,52,78,144,16,1,0,0,4,8,60,43,9,1,1,30,53,2,3,48,41,1,1,24,11,7,22,91,119,28,2,3,6,2,19,144,85,7,0,1,12,7,24,27,0,0,0,65,118,11,8,67,95,17,11,2,1,2,0,63,72,11,13,23,8,2,27,143,23,0,0,3,18,19,66,3,0,0,0,54,72,35,4
107,99,2,0,87,50,19,24,45,15,2,2,118,70,26,23,26,16,2,32,53,14,0,7,104,118,2,8,17,3,2,20,55,118,67,53,118,43,2,15,81,26,6,16,118,59,6,15,55,24,4,25,57,11,5,88,118,25,0,5,29,29,79,118,51,13,1,5,46,9,12,20,30,21,52,41,118,28,3,5,9,17,28,68,48,5,25,38,44,11,1,20,0,22,91,56,4,0,0,0,17,30,72,29,20,1,6,8,90,56,58,9,0,0,2,12,58,22,12,5,1,0,0,9,0,2,17,13,3,0,0,0
110,44,2,0,13,32,2,5,7,12,16,8,35,96,25,1,2,2,0,6,116,121,26,1,0,1,1,3,106,41,0,0,2,29,12,6,25,117,50,58,1,0,0,0,38,109,25,18,36,12,3,9,121,60,5,2,4,6,8,36,35,11,0,0,18,57,29,10,1,76,117,45,14,5,0,0,10,35,27,67,84,47,13,1,80,21,6,7,4,58,121,29,5,0,0,0,5,64,121,7,1,2,16,3,22,99,13,2,0,0,0,2,70,121,20,0,0,0,0,0,4,94,105,0,0,0,0,0,0,20,88,0
110,220,2,0,1,0,2,78,25,0,0,2,133,6,0,8,6,0,0,39,141,63,61,2,0,0,0,26,3,36,116,7,2,14,1,0,0,0,9,141,50,1,1,4,116,10,26,86,8,0,0,28,141,33,10,3,1,4,3,82,18,7,17,22,22,49,6,9,0,0,12,46,34,16,83,45,57,20,35,89,11,11,44,10,141,54,7,11,1,1,1,52,24,8,23,34,4,2,3,11,12,7,2,0,0,3,58,44,31,22,3,0,1,6,47,25,141,1,0,0,0,1,11,141,17,0,1,0,1,7,24,81
120,92,2,0,5,4,13,7,1,18,78,7,9,3,0,0,0,7,75,37,17,4,1,2,0,14,14,43,0,0,7,18,12,82,52,1,7,2,5,12,37,31,90,28,117,26,1,0,1,7,50,63,38,23,0,0,34,135,29,23,2,1,0,0,121,139,83,4,22,34,44,9,26,22,30,7,94,37,26,0,6,23,42,31,10,1,0,0,97,139,38,8,15,1,0,0,105,139,14,9,6,12,26,39,21,12,24,2,0,2,2,8,14,110,75,10,0,0,0,0,26,139,38,1,19,3,0,0,15,106,8,12
120,92,2,0,143,23,0,0,0,0,0,21,59,68,10,3,7,6,15,15,18,29,6,23,40,46,9,17,29,47,12,2,7,23,18,34,143,23,1,0,0,0,0,40,125,60,23,35,11,4,0,42,8,20,49,134,30,20,2,8,29,123,32,6,1,2,8,21,143,11,10,12,0,0,0,91,143,37,4,11,6,0,0,100,24,31,53,77,34,0,0,2,11,91,32,9,2,1,0,0,69,34,15,28,8,1,1,60,143,88,4,1,0,0,0,90,36,18,32,14,2,1,2,3,0,9,14,4,5,4,1,0
122,128,2,0,90,43,10,3,4,11,12,95,18,13,20,10,26,34,29,17,0,19,73,27,17,32,11,0,13,7,37,53,65,14,10,22,65,82,14,5,15,7,10,44,91,38,16,7,14,9,8,15,10,21,31,34,43,13,7,2,4,4,7,30,110,38,10,5,110,64,5,9,9,25,32,97,82,26,9,10,12,37,45,52,12,1,1,10,41,89,43,19,16,42,19,19,110,85,26,7,99,52,0,1,0,107,89,89,101,110,4,1,2,65,72,85,16,30,46,61,35,37,9,10,27,54,41,36,21,47,18,7
127,93,2,0,47,1,1,6,4,0,0,22,158,26,0,0,0,0,0,25,79,42,5,0,0,0,24,32,8,19,4,11,23,31,19,11,63,7,1,12,26,0,0,7,158,64,0,0,0,0,0,8,93,103,25,9,6,3,0,8,3,19,14,54,39,43,2,3,54,10,14,32,9,0,0,3,158,17,2,1,0,0,0,76,158,40,9,13,2,0,0,70,17,12,25,116,29,0,0,0,29,20,28,38,1,0,0,5,158,13,7,16,2,0,0,88,158,31,0,1,1,0,0,93,27,11,26,29,19,0,0,3
128,158,2,0,92,6,11,16,8,3,1,55,3,7,40,110,37,29,12,6,28,114,81,22,1,3,9,22,7,53,14,2,19,8,0,0,128,5,0,0,13,40,15,86,22,5,2,3,83,128,50,37,128,23,7,2,6,27,36,125,27,6,4,17,65,20,0,3,95,15,0,0,13,31,72,56,40,59,27,28,94,76,26,16,128,114,12,3,6,5,2,26,43,1,0,48,39,0,0,13,31,42,21,3,1,8,33,25,81,58,17,12,3,6,12,18,104,71,5,0,0,0,8,18,32,1,0,8,10,11,3,27
